股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
1,長和,80,綜合企業,8000,綜合企業,800010,綜合企業
2,中電控股,40,公用事業,4000,公用事業,400010,電力
3,香港中華煤氣,40,公用事業,4000,公用事業,400020,燃氣
4,九龍倉集團,60,地產建築,6010,地產,601020,地產發展商
5,滙豐控股,50,金融,5010,銀行,501010,銀行
6,電能實業,40,公用事業,4000,公用事業,400010,電力
7,智富資源投資,60,地產建築,6010,地產,601030,地產投資
8,電訊盈科,35,電訊,3500,電訊,350020,電訊服務
9,金奧國際,60,地產建築,6010,地產,601020,地產發展商
10,恒隆集團,60,地產建築,6010,地產,601030,地產投資
11,恒生銀行,50,金融,5010,銀行,501010,銀行
12,恒基地產,60,地產建築,6010,地產,601020,地產發展商
13,和黃醫藥,28,醫療保健,2810,藥品及生物科技,281010,藥品
14,希慎興業,60,地產建築,6010,地產,601030,地產投資
16,新鴻基地產,60,地產建築,6010,地產,601020,地產發展商
17,新世界發展,60,地產建築,6010,地產,601020,地產發展商
18,東方企控集團,23,非必需性消費,2350,媒體及娛樂,235040,出版
19,太古股份公司A,80,綜合企業,8000,綜合企業,800010,綜合企業
20,商湯-W,70,資訊科技,7020,軟件服務,702030,軟件開發
21,大中華控股,60,地產建築,6010,地產,601020,地產發展商
22,茂盛控股,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
23,東亞銀行,50,金融,5010,銀行,501010,銀行
25,其士國際,80,綜合企業,8000,綜合企業,800010,綜合企業
26,中華汽車,60,地產建築,6010,地產,601030,地產投資
27,銀河娛樂,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
28,天安,60,地產建築,6010,地產,601020,地產發展商
29,達力集團,60,地產建築,6010,地產,601030,地產投資
30,萬隆控股集團,25,必需性消費,2510,食品飲料,251050,食品添加劑
31,航天科技,10,工業,1010,工業工程,101060,航空、航天及國防
32,港通控股,23,非必需性消費,2360,支援服務,236010,教育
33,INTL GENIUS,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
34,九龍建業,60,地產建築,6010,地產,601020,地產發展商
35,遠東發展,60,地產建築,6010,地產,601020,地產發展商
36,遠東控股國際,60,地產建築,6010,地產,601030,地產投資
37,遠東酒店實業,60,地產建築,6010,地產,601030,地產投資
